date,players,viewers
19-Sep-2007,9553,0
20-Sep-2007,0,0
21-Sep-2007,5118,0
22-Sep-2007,4616,0
23-Sep-2007,0,0
24-Sep-2007,0,0
25-Sep-2007,6847,0
26-Sep-2007,0,0
27-Sep-2007,0,0
28-Sep-2007,6628,0
29-Sep-2007,3719,0
30-Sep-2007,8137,0
1-Oct-2007,6332,0
2-Oct-2007,5875,0
3-Oct-2007,6266,0
4-Oct-2007,6043,0
5-Oct-2007,6684,0
6-Oct-2007,7948,0
7-Oct-2007,7948,0
8-Oct-2007,7989,0
9-Oct-2007,7422,0
10-Oct-2007,6020,0
11-Oct-2007,7976,0
12-Oct-2007,0,0
13-Oct-2007,0,0
14-Oct-2007,0,0
15-Oct-2007,7294,0
16-Oct-2007,8423,0
17-Oct-2007,0,0
18-Oct-2007,0,0
19-Oct-2007,0,0
20-Oct-2007,18842,0
21-Oct-2007,0,0
22-Oct-2007,0,0
23-Oct-2007,0,0
24-Oct-2007,0,0
25-Oct-2007,0,0
26-Oct-2007,0,0
27-Oct-2007,0,0
28-Oct-2007,0,0
29-Oct-2007,0,0
30-Oct-2007,0,0
31-Oct-2007,0,0
1-Nov-2007,0,0
2-Nov-2007,0,0
3-Nov-2007,0,0
4-Nov-2007,0,0
5-Nov-2007,0,0
6-Nov-2007,0,0
7-Nov-2007,0,0
8-Nov-2007,0,0
9-Nov-2007,0,0
10-Nov-2007,0,0
11-Nov-2007,0,0
12-Nov-2007,0,0
13-Nov-2007,0,0
14-Nov-2007,0,0
15-Nov-2007,0,0
16-Nov-2007,0,0
17-Nov-2007,0,0
18-Nov-2007,0,0
19-Nov-2007,0,0
20-Nov-2007,0,0
21-Nov-2007,0,0
22-Nov-2007,0,0
23-Nov-2007,0,0
24-Nov-2007,0,0
25-Nov-2007,0,0
26-Nov-2007,0,0
27-Nov-2007,0,0
28-Nov-2007,0,0
29-Nov-2007,0,0
30-Nov-2007,0,0
1-Dec-2007,9428,0
2-Dec-2007,0,0
3-Dec-2007,0,0
4-Dec-2007,0,0
5-Dec-2007,9550,0
6-Dec-2007,0,0
7-Dec-2007,0,0
8-Dec-2007,0,0
9-Dec-2007,0,0
10-Dec-2007,3917,0
11-Dec-2007,0,0
12-Dec-2007,0,0
13-Dec-2007,0,0
14-Dec-2007,4038,0
15-Dec-2007,0,0
16-Dec-2007,0,0
17-Dec-2007,9854,0
18-Dec-2007,0,0
19-Dec-2007,0,0
20-Dec-2007,0,0
21-Dec-2007,6228,0
22-Dec-2007,0,0
23-Dec-2007,0,0
24-Dec-2007,0,0
25-Dec-2007,5890,0
26-Dec-2007,0,0
27-Dec-2007,0,0
28-Dec-2007,0,0
29-Dec-2007,11628,0
30-Dec-2007,0,0
31-Dec-2007,0,0
1-Jan-2008,0,0
2-Jan-2008,12699,0
3-Jan-2008,0,0
4-Jan-2008,0,0
5-Jan-2008,14600,0
6-Jan-2008,0,0
7-Jan-2008,0,0
8-Jan-2008,0,0
9-Jan-2008,10829,0
10-Jan-2008,0,0
11-Jan-2008,0,0
12-Jan-2008,0,0
13-Jan-2008,0,0
14-Jan-2008,11775,0
15-Jan-2008,0,0
16-Jan-2008,0,0
17-Jan-2008,0,0
18-Jan-2008,10403,0
19-Jan-2008,0,0
20-Jan-2008,0,0
21-Jan-2008,0,0
22-Jan-2008,11398,0
23-Jan-2008,0,0
24-Jan-2008,0,0
25-Jan-2008,0,0
26-Jan-2008,0,0
27-Jan-2008,0,0
28-Jan-2008,0,0
29-Jan-2008,10653,0
30-Jan-2008,0,0
31-Jan-2008,0,0
1-Feb-2008,0,0
2-Feb-2008,0,0
3-Feb-2008,0,0
4-Feb-2008,0,0
5-Feb-2008,0,0
6-Feb-2008,0,0
7-Feb-2008,0,0
8-Feb-2008,0,0
9-Feb-2008,0,0
10-Feb-2008,0,0
11-Feb-2008,0,0
12-Feb-2008,0,0
13-Feb-2008,0,0
14-Feb-2008,0,0
15-Feb-2008,0,0
16-Feb-2008,0,0
17-Feb-2008,0,0
18-Feb-2008,0,0
19-Feb-2008,0,0
20-Feb-2008,0,0
21-Feb-2008,0,0
22-Feb-2008,0,0
23-Feb-2008,0,0
24-Feb-2008,0,0
25-Feb-2008,0,0
26-Feb-2008,0,0
27-Feb-2008,0,0
28-Feb-2008,0,0
29-Feb-2008,0,0
1-Mar-2008,0,0
2-Mar-2008,0,0
3-Mar-2008,0,0
4-Mar-2008,0,0
5-Mar-2008,0,0
6-Mar-2008,0,0
7-Mar-2008,0,0
8-Mar-2008,0,0
9-Mar-2008,0,0
10-Mar-2008,0,0
11-Mar-2008,0,0
12-Mar-2008,0,0
13-Mar-2008,0,0
14-Mar-2008,0,0
15-Mar-2008,0,0
16-Mar-2008,0,0
17-Mar-2008,0,0
18-Mar-2008,0,0
19-Mar-2008,0,0
20-Mar-2008,0,0
21-Mar-2008,0,0
22-Mar-2008,0,0
23-Mar-2008,0,0
24-Mar-2008,0,0
25-Mar-2008,0,0
26-Mar-2008,0,0
27-Mar-2008,0,0
28-Mar-2008,0,0
29-Mar-2008,0,0
30-Mar-2008,0,0
31-Mar-2008,0,0
1-Apr-2008,0,0
2-Apr-2008,0,0
3-Apr-2008,0,0
4-Apr-2008,0,0
5-Apr-2008,0,0
6-Apr-2008,0,0
7-Apr-2008,0,0
8-Apr-2008,0,0
9-Apr-2008,0,0
10-Apr-2008,0,0
11-Apr-2008,0,0
12-Apr-2008,0,0
13-Apr-2008,0,0
14-Apr-2008,0,0
15-Apr-2008,0,0
16-Apr-2008,0,0
17-Apr-2008,0,0
18-Apr-2008,0,0
19-Apr-2008,0,0
20-Apr-2008,0,0
21-Apr-2008,0,0
22-Apr-2008,0,0
23-Apr-2008,0,0
24-Apr-2008,0,0
25-Apr-2008,0,0
26-Apr-2008,0,0
27-Apr-2008,0,0
28-Apr-2008,0,0
29-Apr-2008,0,0
30-Apr-2008,0,0
1-May-2008,0,0
2-May-2008,0,0
3-May-2008,0,0
4-May-2008,0,0
5-May-2008,0,0
6-May-2008,0,0
7-May-2008,0,0
8-May-2008,0,0
9-May-2008,0,0
10-May-2008,0,0
11-May-2008,0,0
12-May-2008,0,0
13-May-2008,0,0
14-May-2008,0,0
15-May-2008,0,0
16-May-2008,0,0
17-May-2008,0,0
18-May-2008,0,0
19-May-2008,0,0
20-May-2008,0,0
21-May-2008,0,0
22-May-2008,0,0
23-May-2008,0,0
24-May-2008,0,0
25-May-2008,0,0
26-May-2008,0,0
27-May-2008,0,0
28-May-2008,0,0
29-May-2008,0,0
30-May-2008,0,0
31-May-2008,0,0
1-Jun-2008,0,0
2-Jun-2008,0,0
3-Jun-2008,0,0
4-Jun-2008,0,0
5-Jun-2008,0,0
6-Jun-2008,0,0
7-Jun-2008,0,0
8-Jun-2008,0,0
9-Jun-2008,0,0
10-Jun-2008,0,0
11-Jun-2008,0,0
12-Jun-2008,0,0
13-Jun-2008,0,0
14-Jun-2008,0,0
15-Jun-2008,0,0
16-Jun-2008,0,0
17-Jun-2008,0,0
18-Jun-2008,0,0
19-Jun-2008,0,0
20-Jun-2008,0,0
21-Jun-2008,0,0
22-Jun-2008,0,0
23-Jun-2008,0,0
24-Jun-2008,0,0
25-Jun-2008,0,0
26-Jun-2008,0,0
27-Jun-2008,0,0
28-Jun-2008,0,0
29-Jun-2008,0,0
30-Jun-2008,0,0
1-Jul-2008,0,0
2-Jul-2008,0,0
3-Jul-2008,0,0
4-Jul-2008,0,0
5-Jul-2008,0,0
6-Jul-2008,0,0
7-Jul-2008,0,0
8-Jul-2008,0,0
9-Jul-2008,0,0
10-Jul-2008,0,0
11-Jul-2008,0,0
12-Jul-2008,0,0
13-Jul-2008,0,0
14-Jul-2008,0,0
15-Jul-2008,0,0
16-Jul-2008,0,0
17-Jul-2008,0,0
18-Jul-2008,0,0
19-Jul-2008,0,0
20-Jul-2008,0,0
21-Jul-2008,0,0
22-Jul-2008,0,0
23-Jul-2008,0,0
24-Jul-2008,0,0
25-Jul-2008,0,0
26-Jul-2008,0,0
27-Jul-2008,0,0
28-Jul-2008,0,0
29-Jul-2008,0,0
30-Jul-2008,0,0
31-Jul-2008,0,0
1-Aug-2008,0,0
2-Aug-2008,0,0
3-Aug-2008,0,0
4-Aug-2008,0,0
5-Aug-2008,0,0
6-Aug-2008,0,0
7-Aug-2008,0,0
8-Aug-2008,0,0
9-Aug-2008,0,0
10-Aug-2008,0,0
11-Aug-2008,0,0
12-Aug-2008,0,0
13-Aug-2008,0,0
14-Aug-2008,0,0
15-Aug-2008,0,0
16-Aug-2008,0,0
17-Aug-2008,0,0
18-Aug-2008,0,0
19-Aug-2008,0,0
20-Aug-2008,0,0
21-Aug-2008,0,0
22-Aug-2008,0,0
23-Aug-2008,0,0
24-Aug-2008,0,0
25-Aug-2008,0,0
26-Aug-2008,0,0
27-Aug-2008,0,0
28-Aug-2008,0,0
29-Aug-2008,0,0
30-Aug-2008,0,0
31-Aug-2008,0,0
1-Sep-2008,0,0
2-Sep-2008,0,0
3-Sep-2008,0,0
4-Sep-2008,0,0
5-Sep-2008,0,0
6-Sep-2008,0,0
7-Sep-2008,17022,0
8-Sep-2008,0,0
9-Sep-2008,13753,0
10-Sep-2008,0,0
11-Sep-2008,5006,0
12-Sep-2008,14286,0
13-Sep-2008,19086,0
14-Sep-2008,18326,0
15-Sep-2008,5501,0
16-Sep-2008,8677,0
17-Sep-2008,10916,0
18-Sep-2008,0,0
19-Sep-2008,11043,0
20-Sep-2008,0,0
21-Sep-2008,11043,0
22-Sep-2008,11781,0
23-Sep-2008,13161,0
24-Sep-2008,13132,0
25-Sep-2008,0,0
26-Sep-2008,0,0
27-Sep-2008,0,0
28-Sep-2008,0,0
29-Sep-2008,0,0
30-Sep-2008,5132,0
1-Oct-2008,0,0
2-Oct-2008,10528,0
3-Oct-2008,12559,0
4-Oct-2008,0,0
5-Oct-2008,9572,0
6-Oct-2008,0,0
7-Oct-2008,10414,0
8-Oct-2008,6263,0
9-Oct-2008,4678,0
10-Oct-2008,4863,0
11-Oct-2008,11613,0
12-Oct-2008,0,0
13-Oct-2008,6665,0
14-Oct-2008,0,0
15-Oct-2008,10384,0
16-Oct-2008,0,0
17-Oct-2008,11625,0
18-Oct-2008,0,0
19-Oct-2008,14212,0
20-Oct-2008,0,0
21-Oct-2008,9746,0
22-Oct-2008,0,0
